id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Ku_ao_85,01676550511
2,Anh87th,Lymacsau628
3,Nguyenthong24061987,Bimat_quansu
4,Bvcr1900,Nguyentrongtinh2025
5,Nguyenvietthong1,Callboyhn1
6,Cokinhbac,Sailamkythu
7,Thaituankb,Coliethoa
8,Dungnhi,Thuyan2008
9,Trananhtuanvp,Dungxatthu
10,Duyanh0909,Troito2210
11,Tuanannguyen1982kute,Dynamo
12,Fb_576093,Tuanminhmoscow
13,Tuyetcoga,Fb_644089
14,Fb_682619,Twisted_fate
15,Vietthaibinh_13,Hailinh1401
16,Hoadenhat89,Vongatubi
17,Vuongdcct,Hoanghuy6789ok
18,Huanganxuyen88,Vuvantinh
19,Xintacho,Huynhtra_my2101
20,Kingarthur,Xxvuagazz
21,0975003112,Luankool93
22,Makyvuong,1504898033131404@fb
23,Adidaphat1123,Minhbanggai
24,Ngolinhds,Ao_thoi_ma
25,Aomongkyvuong,Phamvantoan1981
26,Phuongbadao,Congbg
27,Cuuamc3,Pvkvodanh93
28,Quachan,Dailuffy
29,Dasaidoi9,Quochai90
30,Tdthainguyen,Dieulinh19892013
31,Duongteemo,Thancoyh
32,Thatcong,Fb_581275
33,Fb_640452,Thinhthien1
34,Toan_thua_thoi,Huongdeptrai21
35,Huy2088,Tranhiep
36,Viettrieu,Khongminh6789
37,Khongvanquyetss,Vonhatlinh123
38,Vukhuc,Kienhoanghuong
39,Kyhuu,Vuvietdung334
40,Zukute,Kytien1989
41,Pjxjnh,Basach
42,Chipbaby,Quangminh11389
43,Quangnamnvm02,Cothutq591
44,Daihaithuy28,Quocanhquockhanh
45,Thanbaipq3,Dinh_thanh
46,Fb_558059,Thanco_88
47,Thanhco123456789,Giang95nghean
48,Haiyen79,Thienngoaiphitien
49,Timd0jthu,Hatcatvothuong
50,Khongnhoten,Time_to_love
51,Tovantuan1973,Kythu1990
52,Lambpm,Tranthuy
53,Trong91hp,Langtumuagio0790
54,Minhtri2327,Trunghoabatdiet
55,Tuanct93,Muoidaklak
56,Nguyenhaiyennhi,Tuannaub
57,Tumanghia2,Nguyenkhon888
58,Phamvanthen,Visao95s
59,Vntieulong,Phongsatasi
60,Phuouongzxc,Vuongphuc
61,0975897689,Nghiepphamvan
62,Ngoctrung92neu,0975999123
63,920684427978627@fb,Nguyen_xuan_soan
64,Nguyenngocthach,Aulacphutho
65,Caothucoupcotuongbacninh,Pexinhdalat
66,Phamcongthanghp,Chelseafamily
67,Cuibapthoi,Phamthen1993
68,Quanghaikc,Cutra01
69,Cuuamck3,Quangvinhvo
70,Satthuhiepke,Dotritan
71,Galaxyonline,Sieudanhhay
72,Supportmtptung,Giaoluu9999
73,Hainx83th,Thachmuoidoi
74,Thanhhuyst,Hoainam87
75,Kitientuan,Thienlyma
76,Tranminhdat87,Kyuc691613
77,Linhmuc,Trongtron
78,Vodanhcongtu,Maxthuan
79,Minhbang,Vs_nguyen
80,Wolf1999999,Mitiu
